Mon Nov 27 05:17:42 2023	Spark (STEAM_0:1:460412980) has joined the game
Mon Nov 27 05:18:13 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:12 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:13 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:20 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:22 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:24 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:25 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:26 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:29 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:30 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:31 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:32 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:35 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:36 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:38 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:39 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:42 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:43 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:45 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:45 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:48 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:49 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:50 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:51 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:53 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:54 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:55 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:56 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:23:59 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:00 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:02 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:04 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:05 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:06 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:08 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:11 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:24:12 2023	Spark (STEAM_0:1:460412980): 
